c01,c02,c03,c04,c05,c06,c07,c08,c09,c10,c11,c12,c13,c14,c15,c16,c17,c18,c19,c20,c21,c22,c23,c24,c25
0.082,0.006,-0.144,0.079,0.81,-0.165,0.099,-0.068,-0.635,-1.014,-0.033,-0.02,-0.149,0.318,-0.104,0.255,0.024,0.072,0.179,0.252,0.235,0.121,0.304,0.285,-1.017
0.118,-0.018,-0.155,0.113,0.799,-0.177,0.09,-0.07,-0.612,-0.984,-0.011,-0.031,-0.157,0.356,-0.06,0.272,0.008,0.076,0.107,0.236,0.207,0.081,0.307,0.323,-0.988
0.136,-0.017,-0.145,0.144,0.79,-0.186,0.088,-0.064,-0.602,-0.978,-0.003,-0.028,-0.165,0.389,-0.016,0.263,-0.009,0.076,0.046,0.283,0.195,0.077,0.309,0.341,-0.961
0.146,-0.013,-0.141,0.195,0.778,-0.194,0.082,-0.062,-0.577,-0.961,0.005,-0.032,-0.158,0.419,0.021,0.246,-0.009,0.066,-0.009,0.322,0.189,0.06,0.311,0.367,-0.93
0.151,-0.006,-0.131,0.241,0.768,-0.204,0.075,-0.059,-0.551,-0.943,0.008,-0.029,-0.148,0.438,0.063,0.228,-0.01,0.051,-0.062,0.354,0.186,0.054,0.312,0.392,-0.909
0.167,-0.004,-0.125,0.283,0.75,-0.209,0.068,-0.058,-0.53,-0.925,0.018,-0.028,-0.144,0.462,0.102,0.215,-0.018,0.044,-0.122,0.387,0.177,0.043,0.319,0.412,-0.88
0.169,0.004,-0.119,0.32,0.735,-0.218,0.065,-0.055,-0.505,-0.902,0.022,-0.029,-0.143,0.486,0.141,0.201,-0.025,0.033,-0.175,0.426,0.178,0.032,0.322,0.431,-0.851
0.177,0.005,-0.107,0.37,0.712,-0.232,0.061,-0.059,-0.481,-0.882,0.025,-0.025,-0.136,0.506,0.18,0.185,-0.031,0.019,-0.23,0.465,0.172,0.027,0.323,0.451,-0.82
0.177,0.009,-0.104,0.413,0.692,-0.241,0.056,-0.065,-0.453,-0.854,0.025,-0.018,-0.13,0.526,0.218,0.169,-0.032,0.008,-0.287,0.495,0.167,0.011,0.328,0.471,-0.792
0.18,0.013,-0.1,0.457,0.666,-0.248,0.046,-0.064,-0.423,-0.829,0.029,-0.006,-0.128,0.542,0.25,0.153,-0.038,-0.008,-0.343,0.527,0.16,0.007,0.334,0.499,-0.758
