c01,c02,c03,c04,c05,c06,c07,c08,c09,c10,c11,c12,c13,c14,c15,c16,c17,c18,c19,c20,c21,c22,c23,c24,c25
0.123,-0.242,-0.672,-0.784,0.224,0.096,0.081,-0.379,-0.088,0.315,-0.086,-0.051,-0.68,0.896,0.361,0.02,0.079,-0.311,-0.808,0.199,-0.01,0.027,-0.365,-0.248,-0.12
0.11,-0.237,-0.652,-0.743,0.213,0.076,0.037,-0.338,-0.098,0.319,-0.052,-0.054,-0.69,0.883,0.338,0.03,0.088,-0.311,-0.848,0.205,0.007,0.061,-0.369,-0.187,-0.112
0.108,-0.239,-0.627,-0.711,0.215,0.08,0.032,-0.29,-0.131,0.316,-0.06,-0.039,-0.717,0.864,0.324,0.024,0.092,-0.291,-0.869,0.185,0.013,0.063,-0.36,-0.142,-0.111
0.101,-0.241,-0.605,-0.682,0.216,0.077,0.032,-0.251,-0.163,0.333,-0.054,-0.032,-0.74,0.838,0.304,0.029,0.096,-0.266,-0.897,0.176,0.031,0.062,-0.336,-0.09,-0.114
0.101,-0.24,-0.581,-0.654,0.21,0.075,0.036,-0.206,-0.188,0.336,-0.045,-0.021,-0.76,0.82,0.285,0.026,0.099,-0.247,-0.931,0.161,0.033,0.062,-0.32,-0.044,-0.116
0.094,-0.24,-0.558,-0.622,0.21,0.07,0.026,-0.162,-0.217,0.336,-0.036,-0.014,-0.776,0.801,0.261,0.023,0.109,-0.23,-0.956,0.151,0.04,0.067,-0.302,0.009,-0.116
0.097,-0.244,-0.535,-0.589,0.208,0.071,0.027,-0.117,-0.248,0.33,-0.036,-0.004,-0.8,0.78,0.239,0.015,0.12,-0.21,-0.98,0.133,0.043,0.064,-0.286,0.056,-0.116
0.093,-0.239,-0.507,-0.553,0.207,0.071,0.031,-0.076,-0.277,0.335,-0.037,0.002,-0.81,0.754,0.217,0.011,0.128,-0.191,-1,0.12,0.05,0.062,-0.265,0.102,-0.122
0.091,-0.237,-0.48,-0.524,0.198,0.07,0.03,-0.034,-0.302,0.343,-0.028,0.01,-0.824,0.729,0.198,0.003,0.141,-0.17,-1.019,0.109,0.05,0.066,-0.243,0.148,-0.123
0.082,-0.235,-0.452,-0.482,0.189,0.066,0.027,0.013,-0.328,0.341,-0.022,0.013,-0.828,0.701,0.175,-0.003,0.151,-0.151,-1.036,0.1,0.058,0.068,-0.228,0.198,-0.126
0.084,-0.233,-0.425,-0.442,0.187,0.065,0.025,0.058,-0.356,0.333,-0.014,0.018,-0.825,0.68,0.153,-0.011,0.163,-0.134,-1.052,0.082,0.056,0.076,-0.216,0.247,-0.126
0.08,-0.226,-0.397,-0.407,0.179,0.063,0.026,0.098,-0.38,0.322,-0.011,0.019,-0.821,0.655,0.129,-0.017,0.175,-0.113,-1.059,0.064,0.059,0.084,-0.202,0.287,-0.125
0.081,-0.223,-0.373,-0.366,0.171,0.06,0.025,0.137,-0.401,0.311,-0.009,0.023,-0.809,0.629,0.107,-0.02,0.189,-0.091,-1.065,0.049,0.065,0.088,-0.182,0.339,-0.122
0.074,-0.215,-0.337,-0.321,0.17,0.061,0.023,0.18,-0.43,0.307,-0.004,0.023,-0.789,0.597,0.087,-0.026,0.203,-0.072,-1.066,0.038,0.068,0.092,-0.167,0.378,-0.123
0.068,-0.206,-0.308,-0.277,0.165,0.058,0.027,0.221,-0.45,0.301,-0.002,0.031,-0.763,0.561,0.067,-0.029,0.214,-0.053,-1.063,0.02,0.073,0.097,-0.151,0.421,-0.122
0.06,-0.202,-0.278,-0.235,0.16,0.054,0.027,0.26,-0.468,0.296,0.004,0.034,-0.73,0.534,0.049,-0.031,0.221,-0.031,-1.057,0.005,0.076,0.101,-0.129,0.463,-0.118
0.058,-0.197,-0.247,-0.193,0.15,0.055,0.02,0.3,-0.487,0.284,0.011,0.038,-0.701,0.503,0.03,-0.035,0.227,-0.013,-1.055,-0.013,0.08,0.104,-0.108,0.501,-0.111
