c01,c02,c03,c04,c05,c06,c07,c08,c09,c10,c11,c12,c13,c14,c15,c16,c17,c18,c19,c20,c21,c22,c23,c24,c25
0.253,0.664,0.46,0.352,0.162,-0.273,-0.294,-0.621,0.196,-0.184,-0.257,-0.555,-0.304,0.312,-0.164,-0.317,0.597,-0.715,0.11,0.181,-0.019,-0.66,0.151,-0.076,0.681
0.255,0.7,0.429,0.347,0.16,-0.253,-0.218,-0.631,0.19,-0.181,-0.225,-0.612,-0.34,0.312,-0.206,-0.312,0.622,-0.736,0.094,0.17,-0.044,-0.708,0.187,-0.082,0.652
0.266,0.72,0.394,0.351,0.171,-0.228,-0.163,-0.623,0.182,-0.176,-0.207,-0.657,-0.356,0.31,-0.219,-0.291,0.657,-0.72,0.084,0.14,-0.065,-0.732,0.219,-0.094,0.643
0.276,0.738,0.36,0.348,0.18,-0.194,-0.113,-0.607,0.173,-0.174,-0.197,-0.704,-0.362,0.305,-0.245,-0.283,0.697,-0.702,0.078,0.112,-0.093,-0.767,0.251,-0.099,0.623
0.292,0.748,0.323,0.346,0.183,-0.16,-0.059,-0.593,0.171,-0.168,-0.189,-0.744,-0.366,0.299,-0.262,-0.271,0.729,-0.674,0.073,0.086,-0.12,-0.796,0.279,-0.109,0.604
0.302,0.76,0.29,0.344,0.188,-0.13,-0.003,-0.583,0.163,-0.16,-0.171,-0.784,-0.38,0.293,-0.281,-0.258,0.763,-0.659,0.061,0.064,-0.145,-0.824,0.31,-0.118,0.588
0.311,0.768,0.25,0.343,0.193,-0.1,0.051,-0.57,0.158,-0.152,-0.162,-0.825,-0.381,0.284,-0.295,-0.248,0.801,-0.632,0.056,0.044,-0.167,-0.852,0.339,-0.121,0.567
0.326,0.776,0.208,0.341,0.193,-0.072,0.102,-0.555,0.148,-0.145,-0.147,-0.858,-0.382,0.276,-0.311,-0.233,0.827,-0.603,0.049,0.018,-0.195,-0.871,0.369,-0.131,0.556
0.341,0.778,0.165,0.335,0.197,-0.04,0.158,-0.547,0.145,-0.139,-0.133,-0.888,-0.388,0.27,-0.33,-0.221,0.855,-0.577,0.046,-0.004,-0.226,-0.896,0.393,-0.14,0.538
0.357,0.782,0.125,0.333,0.198,-0.014,0.21,-0.528,0.132,-0.135,-0.118,-0.917,-0.383,0.258,-0.346,-0.206,0.885,-0.546,0.035,-0.024,-0.251,-0.921,0.42,-0.148,0.521
0.374,0.781,0.084,0.329,0.199,0.013,0.265,-0.508,0.12,-0.123,-0.108,-0.946,-0.382,0.249,-0.359,-0.197,0.902,-0.515,0.03,-0.045,-0.278,-0.939,0.441,-0.156,0.505
0.38,0.781,0.044,0.327,0.198,0.036,0.315,-0.491,0.114,-0.113,-0.094,-0.964,-0.382,0.24,-0.366,-0.183,0.924,-0.479,0.019,-0.069,-0.299,-0.951,0.463,-0.165,0.491
0.388,0.784,0.001,0.325,0.196,0.061,0.366,-0.475,0.102,-0.109,-0.078,-0.982,-0.389,0.232,-0.381,-0.171,0.95,-0.449,0.014,-0.086,-0.322,-0.965,0.489,-0.172,0.47
0.395,0.775,-0.042,0.32,0.194,0.085,0.415,-0.459,0.088,-0.099,-0.065,-1.005,-0.383,0.225,-0.394,-0.157,0.963,-0.415,0.004,-0.099,-0.343,-0.978,0.508,-0.174,0.448
0.404,0.772,-0.087,0.316,0.192,0.109,0.461,-0.431,0.077,-0.092,-0.056,-1.02,-0.373,0.217,-0.406,-0.142,0.973,-0.38,-0.007,-0.115,-0.369,-0.993,0.529,-0.177,0.423
0.415,0.765,-0.13,0.307,0.189,0.134,0.504,-0.409,0.068,-0.081,-0.043,-1.032,-0.367,0.203,-0.415,-0.125,0.982,-0.348,-0.021,-0.132,-0.395,-1,0.547,-0.184,0.401
0.418,0.754,-0.164,0.303,0.189,0.16,0.55,-0.387,0.059,-0.077,-0.029,-1.041,-0.365,0.194,-0.429,-0.112,0.993,-0.313,-0.027,-0.139,-0.414,-1.013,0.557,-0.186,0.375
0.418,0.746,-0.203,0.293,0.187,0.182,0.592,-0.357,0.049,-0.069,-0.018,-1.052,-0.358,0.182,-0.431,-0.1,0.993,-0.278,-0.04,-0.143,-0.429,-1.018,0.575,-0.19,0.346
0.42,0.734,-0.242,0.284,0.179,0.209,0.635,-0.334,0.04,-0.057,-0.008,-1.059,-0.354,0.174,-0.441,-0.094,0.995,-0.241,-0.048,-0.147,-0.445,-1.015,0.585,-0.191,0.317
0.417,0.721,-0.28,0.276,0.171,0.235,0.675,-0.311,0.033,-0.051,0.009,-1.055,-0.349,0.159,-0.447,-0.076,0.995,-0.209,-0.057,-0.148,-0.464,-1.012,0.606,-0.194,0.284
0.422,0.704,-0.314,0.265,0.166,0.263,0.715,-0.289,0.022,-0.044,0.024,-1.06,-0.339,0.148,-0.451,-0.059,0.992,-0.173,-0.067,-0.146,-0.479,-1.008,0.616,-0.199,0.252
0.422,0.682,-0.351,0.249,0.163,0.286,0.751,-0.261,0.012,-0.033,0.035,-1.063,-0.321,0.135,-0.45,-0.037,0.982,-0.132,-0.079,-0.146,-0.497,-1.001,0.622,-0.2,0.224
0.421,0.66,-0.381,0.241,0.156,0.311,0.786,-0.23,-0.002,-0.029,0.05,-1.055,-0.316,0.119,-0.453,-0.03,0.972,-0.1,-0.084,-0.143,-0.512,-0.991,0.633,-0.203,0.195
0.419,0.638,-0.414,0.229,0.15,0.33,0.82,-0.204,-0.012,-0.02,0.066,-1.049,-0.315,0.105,-0.453,-0.019,0.965,-0.057,-0.088,-0.139,-0.519,-0.974,0.633,-0.21,0.166
0.416,0.614,-0.442,0.218,0.142,0.35,0.853,-0.177,-0.026,-0.014,0.081,-1.034,-0.312,0.099,-0.455,-0.003,0.95,-0.021,-0.087,-0.135,-0.525,-0.958,0.637,-0.213,0.137
0.413,0.586,-0.473,0.195,0.137,0.373,0.881,-0.145,-0.037,-0.001,0.095,-1.026,-0.301,0.083,-0.454,0.01,0.935,0.017,-0.101,-0.134,-0.53,-0.937,0.642,-0.214,0.108
0.407,0.557,-0.497,0.183,0.126,0.394,0.905,-0.12,-0.05,0.009,0.11,-1.014,-0.286,0.067,-0.452,0.023,0.92,0.051,-0.106,-0.13,-0.541,-0.918,0.639,-0.213,0.08
0.402,0.526,-0.524,0.169,0.119,0.414,0.928,-0.089,-0.059,0.016,0.123,-0.996,-0.278,0.051,-0.445,0.036,0.898,0.086,-0.109,-0.129,-0.546,-0.893,0.639,-0.207,0.051
0.401,0.498,-0.553,0.15,0.11,0.427,0.949,-0.062,-0.071,0.019,0.128,-0.984,-0.26,0.038,-0.436,0.049,0.876,0.125,-0.116,-0.125,-0.545,-0.871,0.631,-0.204,0.03
0.391,0.466,-0.578,0.132,0.097,0.435,0.967,-0.033,-0.081,0.033,0.138,-0.963,-0.248,0.019,-0.429,0.062,0.854,0.157,-0.125,-0.117,-0.551,-0.844,0.624,-0.194,0.001
0.386,0.438,-0.597,0.115,0.09,0.443,0.982,-0.004,-0.086,0.047,0.154,-0.935,-0.235,0.004,-0.428,0.072,0.834,0.191,-0.132,-0.116,-0.544,-0.813,0.618,-0.189,-0.029
0.375,0.413,-0.618,0.089,0.083,0.452,0.991,0.022,-0.095,0.059,0.162,-0.907,-0.216,-0.01,-0.42,0.091,0.814,0.227,-0.142,-0.108,-0.54,-0.783,0.605,-0.182,-0.057
0.362,0.379,-0.636,0.073,0.074,0.464,0.999,0.049,-0.098,0.067,0.168,-0.881,-0.196,-0.025,-0.413,0.106,0.788,0.259,-0.146,-0.102,-0.538,-0.748,0.595,-0.174,-0.084
0.35,0.346,-0.65,0.058,0.068,0.474,1.004,0.075,-0.102,0.079,0.17,-0.86,-0.175,-0.041,-0.404,0.115,0.766,0.293,-0.158,-0.09,-0.543,-0.713,0.587,-0.168,-0.113
0.34,0.315,-0.668,0.051,0.058,0.479,1.011,0.102,-0.111,0.086,0.174,-0.825,-0.158,-0.056,-0.391,0.127,0.741,0.321,-0.158,-0.085,-0.535,-0.679,0.569,-0.161,-0.145
0.328,0.282,-0.68,0.035,0.055,0.487,1.012,0.132,-0.122,0.096,0.18,-0.785,-0.144,-0.067,-0.38,0.141,0.72,0.356,-0.164,-0.083,-0.529,-0.641,0.558,-0.153,-0.175
0.311,0.247,-0.69,0.013,0.044,0.489,1.005,0.156,-0.129,0.106,0.188,-0.752,-0.123,-0.082,-0.366,0.16,0.702,0.385,-0.173,-0.073,-0.524,-0.603,0.543,-0.148,-0.202
0.294,0.209,-0.696,-0.001,0.035,0.494,0.998,0.178,-0.136,0.119,0.196,-0.711,-0.108,-0.094,-0.357,0.166,0.684,0.412,-0.181,-0.067,-0.52,-0.565,0.526,-0.139,-0.234
0.279,0.178,-0.704,-0.01,0.03,0.507,0.994,0.204,-0.146,0.12,0.204,-0.67,-0.089,-0.106,-0.347,0.179,0.665,0.441,-0.18,-0.065,-0.507,-0.526,0.512,-0.129,-0.256
0.257,0.139,-0.707,-0.023,0.017,0.514,0.984,0.226,-0.157,0.124,0.208,-0.626,-0.074,-0.116,-0.331,0.192,0.638,0.467,-0.182,-0.056,-0.5,-0.488,0.491,-0.116,-0.282
0.24,0.102,-0.713,-0.033,0.01,0.513,0.973,0.25,-0.159,0.132,0.221,-0.587,-0.055,-0.13,-0.316,0.196,0.613,0.49,-0.184,-0.055,-0.496,-0.448,0.473,-0.098,-0.309
0.225,0.068,-0.72,-0.051,0.004,0.518,0.958,0.269,-0.168,0.136,0.23,-0.544,-0.038,-0.142,-0.297,0.201,0.592,0.511,-0.185,-0.048,-0.486,-0.41,0.455,-0.08,-0.337
0.205,0.036,-0.722,-0.066,-0.006,0.515,0.942,0.293,-0.177,0.139,0.242,-0.496,-0.017,-0.154,-0.278,0.204,0.569,0.534,-0.186,-0.045,-0.471,-0.361,0.427,-0.056,-0.355
0.183,0.001,-0.717,-0.083,-0.013,0.514,0.924,0.317,-0.181,0.144,0.249,-0.45,0.003,-0.163,-0.255,0.211,0.545,0.554,-0.186,-0.034,-0.463,-0.316,0.408,-0.036,-0.373
0.167,-0.036,-0.716,-0.098,-0.022,0.504,0.905,0.339,-0.185,0.146,0.252,-0.407,0.023,-0.177,-0.238,0.218,0.517,0.57,-0.185,-0.026,-0.442,-0.268,0.385,-0.019,-0.397
0.145,-0.065,-0.71,-0.115,-0.028,0.499,0.883,0.355,-0.188,0.147,0.259,-0.36,0.042,-0.184,-0.225,0.216,0.491,0.586,-0.178,-0.017,-0.423,-0.225,0.36,0.003,-0.417
