c01,c02,c03,c04,c05,c06,c07,c08,c09,c10,c11,c12,c13,c14,c15,c16,c17,c18,c19,c20,c21,c22,c23,c24,c25
-0.34,0.829,-0.147,0.008,0.033,-0.799,0.63,-0.139,0.163,0.014,0.683,-0.4,0.001,-0.063,0.038,-0.786,-0.359,0.051,-0.098,-0.014,-0.563,-0.786,-0.188,-0.005,-0.075
-0.318,0.78,-0.153,0.007,0.05,-0.792,0.629,-0.162,0.143,0.036,0.675,-0.375,0.014,-0.069,0.057,-0.777,-0.341,0.049,-0.103,0.016,-0.575,-0.806,-0.192,-0.007,-0.078
-0.289,0.741,-0.146,0.001,0.042,-0.772,0.637,-0.168,0.121,0.028,0.67,-0.344,0.016,-0.069,0.073,-0.772,-0.319,0.051,-0.098,0.028,-0.573,-0.828,-0.193,-0.009,-0.079
-0.264,0.704,-0.149,-0.002,0.034,-0.751,0.642,-0.174,0.114,0.033,0.665,-0.329,0.013,-0.069,0.078,-0.754,-0.295,0.041,-0.102,0.031,-0.566,-0.846,-0.193,-0.01,-0.079
-0.232,0.663,-0.151,-0.006,0.038,-0.723,0.645,-0.176,0.097,0.032,0.66,-0.302,0.021,-0.073,0.081,-0.732,-0.263,0.034,-0.1,0.031,-0.558,-0.869,-0.184,-0.014,-0.081
-0.204,0.625,-0.156,-0.009,0.041,-0.698,0.645,-0.181,0.084,0.031,0.656,-0.278,0.023,-0.074,0.081,-0.714,-0.242,0.027,-0.098,0.042,-0.551,-0.885,-0.179,-0.013,-0.078
-0.17,0.584,-0.157,-0.015,0.038,-0.673,0.648,-0.177,0.065,0.03,0.647,-0.259,0.024,-0.069,0.081,-0.693,-0.211,0.021,-0.098,0.039,-0.537,-0.906,-0.173,-0.015,-0.08
-0.142,0.546,-0.154,-0.014,0.035,-0.645,0.65,-0.184,0.056,0.023,0.643,-0.235,0.026,-0.067,0.09,-0.673,-0.185,0.013,-0.096,0.042,-0.52,-0.92,-0.166,-0.016,-0.087
-0.114,0.504,-0.157,-0.019,0.033,-0.617,0.651,-0.185,0.049,0.023,0.631,-0.212,0.028,-0.067,0.09,-0.648,-0.153,0.002,-0.094,0.037,-0.503,-0.929,-0.156,-0.014,-0.089
-0.084,0.466,-0.166,-0.018,0.031,-0.583,0.644,-0.192,0.034,0.019,0.625,-0.187,0.028,-0.06,0.088,-0.619,-0.124,-0.009,-0.092,0.037,-0.487,-0.94,-0.153,-0.018,-0.09
