c01,c02,c03,c04,c05,c06,c07,c08,c09,c10,c11,c12,c13,c14,c15,c16,c17,c18,c19,c20,c21,c22,c23,c24,c25
-0.036,-0.101,-0.17,-0.069,-0.043,-0.572,0.062,0.139,-0.118,0.708,-0.493,-0.013,0.112,-0.599,-0.867,0.409,-0.174,0.086,0.052,0.757,-0.529,-0.062,0.071,0.218,-0.652
-0.027,-0.101,-0.185,-0.044,-0.07,-0.617,0.033,0.111,-0.119,0.726,-0.454,-0.042,0.116,-0.586,-0.86,0.41,-0.237,0.088,0.03,0.728,-0.559,-0.073,0.079,0.186,-0.66
-0.059,-0.113,-0.2,-0.035,-0.091,-0.632,-0.004,0.099,-0.104,0.723,-0.429,-0.058,0.127,-0.573,-0.83,0.394,-0.25,0.084,-0.007,0.703,-0.543,-0.097,0.081,0.147,-0.666
-0.088,-0.113,-0.203,-0.018,-0.11,-0.655,-0.027,0.097,-0.081,0.736,-0.408,-0.067,0.132,-0.552,-0.81,0.377,-0.248,0.082,-0.038,0.682,-0.52,-0.118,0.08,0.127,-0.682
-0.11,-0.109,-0.199,-0.006,-0.142,-0.665,-0.057,0.095,-0.055,0.741,-0.388,-0.077,0.129,-0.534,-0.783,0.355,-0.238,0.087,-0.069,0.659,-0.506,-0.141,0.079,0.108,-0.694
-0.134,-0.109,-0.201,0.011,-0.167,-0.68,-0.086,0.092,-0.033,0.746,-0.357,-0.095,0.132,-0.518,-0.758,0.338,-0.241,0.087,-0.099,0.629,-0.493,-0.161,0.082,0.083,-0.706
-0.166,-0.103,-0.208,0.016,-0.189,-0.691,-0.111,0.087,-0.01,0.747,-0.332,-0.103,0.132,-0.495,-0.733,0.315,-0.23,0.087,-0.131,0.604,-0.473,-0.181,0.088,0.058,-0.716
-0.191,-0.104,-0.209,0.03,-0.211,-0.7,-0.136,0.084,0.012,0.74,-0.299,-0.12,0.132,-0.477,-0.702,0.295,-0.217,0.088,-0.157,0.576,-0.453,-0.2,0.084,0.035,-0.731
-0.218,-0.096,-0.208,0.043,-0.236,-0.71,-0.161,0.08,0.038,0.739,-0.269,-0.134,0.128,-0.454,-0.67,0.272,-0.196,0.089,-0.185,0.544,-0.438,-0.219,0.087,0.01,-0.745
-0.242,-0.087,-0.204,0.057,-0.263,-0.721,-0.182,0.079,0.065,0.734,-0.233,-0.143,0.13,-0.43,-0.637,0.251,-0.182,0.086,-0.211,0.513,-0.421,-0.235,0.09,-0.005,-0.759
-0.267,-0.077,-0.203,0.069,-0.289,-0.719,-0.208,0.07,0.084,0.726,-0.196,-0.151,0.124,-0.405,-0.6,0.226,-0.169,0.087,-0.238,0.478,-0.403,-0.254,0.093,-0.026,-0.767
-0.29,-0.075,-0.2,0.078,-0.319,-0.716,-0.23,0.064,0.109,0.712,-0.157,-0.163,0.121,-0.385,-0.556,0.201,-0.152,0.083,-0.268,0.44,-0.393,-0.266,0.098,-0.048,-0.771
-0.321,-0.069,-0.207,0.091,-0.341,-0.713,-0.248,0.055,0.129,0.699,-0.112,-0.171,0.121,-0.353,-0.515,0.179,-0.132,0.083,-0.296,0.405,-0.374,-0.279,0.102,-0.067,-0.779
-0.344,-0.066,-0.209,0.101,-0.363,-0.714,-0.268,0.051,0.156,0.688,-0.063,-0.178,0.115,-0.327,-0.475,0.149,-0.114,0.077,-0.315,0.362,-0.352,-0.294,0.099,-0.091,-0.779
-0.364,-0.061,-0.213,0.106,-0.387,-0.712,-0.284,0.041,0.176,0.674,-0.017,-0.18,0.106,-0.3,-0.432,0.126,-0.095,0.073,-0.338,0.324,-0.335,-0.305,0.097,-0.111,-0.782
-0.385,-0.059,-0.206,0.118,-0.414,-0.706,-0.309,0.036,0.199,0.66,0.031,-0.182,0.101,-0.272,-0.379,0.099,-0.073,0.07,-0.362,0.285,-0.318,-0.321,0.092,-0.135,-0.78
-0.407,-0.053,-0.207,0.126,-0.431,-0.698,-0.331,0.03,0.221,0.643,0.078,-0.185,0.099,-0.244,-0.333,0.068,-0.048,0.062,-0.385,0.246,-0.289,-0.329,0.096,-0.155,-0.777
-0.427,-0.048,-0.203,0.132,-0.445,-0.691,-0.35,0.028,0.246,0.625,0.131,-0.19,0.094,-0.214,-0.29,0.041,-0.031,0.062,-0.403,0.205,-0.263,-0.343,0.096,-0.173,-0.764
-0.441,-0.042,-0.202,0.135,-0.456,-0.678,-0.368,0.021,0.263,0.607,0.177,-0.193,0.086,-0.187,-0.241,0.009,-0.003,0.061,-0.427,0.166,-0.241,-0.356,0.095,-0.194,-0.752
-0.454,-0.038,-0.199,0.139,-0.46,-0.669,-0.386,0.016,0.29,0.588,0.227,-0.199,0.084,-0.155,-0.195,-0.019,0.023,0.058,-0.443,0.129,-0.218,-0.367,0.098,-0.216,-0.743
-0.47,-0.028,-0.192,0.147,-0.451,-0.659,-0.4,0.012,0.307,0.568,0.274,-0.203,0.08,-0.128,-0.148,-0.047,0.053,0.054,-0.459,0.091,-0.191,-0.38,0.097,-0.24,-0.735
-0.478,-0.022,-0.18,0.152,-0.443,-0.647,-0.418,0.007,0.322,0.541,0.322,-0.21,0.074,-0.106,-0.101,-0.071,0.078,0.05,-0.469,0.05,-0.168,-0.389,0.098,-0.263,-0.72
-0.489,-0.015,-0.171,0.154,-0.424,-0.633,-0.434,0.002,0.335,0.511,0.363,-0.215,0.069,-0.078,-0.054,-0.093,0.108,0.049,-0.49,0.013,-0.146,-0.395,0.104,-0.285,-0.71
-0.498,-0.004,-0.164,0.158,-0.402,-0.613,-0.447,-0.002,0.352,0.485,0.405,-0.221,0.067,-0.049,-0.009,-0.122,0.147,0.047,-0.507,-0.025,-0.117,-0.405,0.104,-0.301,-0.696
