c01,c02,c03,c04,c05,c06,c07,c08,c09,c10,c11,c12,c13,c14,c15,c16,c17,c18,c19,c20,c21,c22,c23,c24,c25
-0.112,0.915,-0.849,0.193,0.589,-0.615,0.751,0.191,-0.083,0.779,0.437,-0.496,0.434,-0.122,-0.496,-0.322,-0.871,-0.909,-0.032,-0.613,-0.343,-0.675,0.04,-0.009,0.541
-0.104,0.857,-0.895,0.171,0.595,-0.613,0.752,0.221,-0.088,0.768,0.428,-0.461,0.401,-0.128,-0.496,-0.316,-0.894,-0.898,-0.042,-0.654,-0.36,-0.699,0.022,-0.011,0.571
-0.09,0.81,-0.923,0.146,0.574,-0.598,0.762,0.238,-0.088,0.725,0.422,-0.42,0.373,-0.123,-0.516,-0.316,-0.918,-0.88,-0.051,-0.664,-0.363,-0.708,-0.002,-0.013,0.597
-0.081,0.764,-0.947,0.137,0.551,-0.581,0.768,0.249,-0.087,0.694,0.418,-0.394,0.332,-0.127,-0.526,-0.304,-0.938,-0.859,-0.049,-0.671,-0.364,-0.724,-0.022,-0.015,0.608
-0.065,0.714,-0.965,0.118,0.539,-0.559,0.772,0.272,-0.091,0.654,0.414,-0.357,0.293,-0.125,-0.534,-0.29,-0.964,-0.827,-0.051,-0.69,-0.363,-0.738,-0.043,-0.018,0.617
-0.053,0.667,-0.987,0.102,0.527,-0.54,0.774,0.288,-0.091,0.616,0.411,-0.322,0.255,-0.123,-0.54,-0.28,-0.981,-0.8,-0.05,-0.705,-0.362,-0.755,-0.063,-0.018,0.623
-0.035,0.618,-0.997,0.081,0.507,-0.521,0.777,0.301,-0.085,0.574,0.403,-0.292,0.218,-0.122,-0.545,-0.267,-1.003,-0.771,-0.047,-0.714,-0.356,-0.767,-0.086,-0.02,0.628
-0.023,0.57,-1.015,0.069,0.486,-0.499,0.78,0.315,-0.083,0.528,0.402,-0.258,0.178,-0.12,-0.555,-0.257,-1.019,-0.739,-0.05,-0.723,-0.347,-0.773,-0.101,-0.021,0.639
-0.012,0.52,-1.026,0.06,0.466,-0.478,0.781,0.329,-0.082,0.486,0.392,-0.224,0.134,-0.118,-0.555,-0.242,-1.03,-0.704,-0.05,-0.734,-0.338,-0.783,-0.122,-0.019,0.64
0.001,0.474,-1.041,0.043,0.444,-0.451,0.774,0.34,-0.074,0.44,0.39,-0.188,0.09,-0.115,-0.556,-0.225,-1.041,-0.673,-0.049,-0.744,-0.331,-0.798,-0.137,-0.023,0.639
0.013,0.427,-1.046,0.031,0.423,-0.421,0.77,0.352,-0.067,0.383,0.383,-0.147,0.053,-0.11,-0.56,-0.21,-1.046,-0.633,-0.048,-0.75,-0.32,-0.8,-0.148,-0.026,0.64
0.033,0.372,-1.049,0.013,0.404,-0.393,0.765,0.367,-0.063,0.331,0.373,-0.107,0.009,-0.109,-0.56,-0.194,-1.053,-0.601,-0.049,-0.758,-0.313,-0.8,-0.168,-0.023,0.633
0.049,0.325,-1.05,0.005,0.384,-0.371,0.756,0.377,-0.053,0.278,0.357,-0.075,-0.029,-0.105,-0.562,-0.181,-1.054,-0.559,-0.047,-0.76,-0.3,-0.806,-0.181,-0.024,0.627
0.056,0.274,-1.05,-0.005,0.357,-0.347,0.749,0.383,-0.047,0.228,0.347,-0.037,-0.07,-0.102,-0.56,-0.169,-1.053,-0.523,-0.044,-0.759,-0.287,-0.804,-0.196,-0.021,0.625
0.071,0.221,-1.048,-0.018,0.327,-0.318,0.738,0.392,-0.04,0.18,0.328,-0.001,-0.108,-0.095,-0.555,-0.153,-1.055,-0.482,-0.045,-0.757,-0.269,-0.802,-0.21,-0.023,0.626
0.085,0.166,-1.044,-0.025,0.3,-0.286,0.724,0.396,-0.037,0.136,0.313,0.038,-0.146,-0.089,-0.552,-0.138,-1.044,-0.44,-0.05,-0.752,-0.254,-0.801,-0.221,-0.021,0.618
0.098,0.113,-1.031,-0.038,0.273,-0.256,0.704,0.402,-0.032,0.083,0.295,0.075,-0.183,-0.08,-0.541,-0.116,-1.036,-0.397,-0.047,-0.741,-0.242,-0.797,-0.233,-0.021,0.602
0.112,0.064,-1.024,-0.048,0.251,-0.224,0.682,0.412,-0.026,0.032,0.276,0.112,-0.218,-0.079,-0.534,-0.104,-1.027,-0.357,-0.042,-0.734,-0.227,-0.787,-0.242,-0.022,0.592
0.124,0.011,-1.005,-0.053,0.22,-0.195,0.663,0.415,-0.025,-0.016,0.257,0.145,-0.252,-0.074,-0.526,-0.09,-1.008,-0.309,-0.046,-0.723,-0.211,-0.771,-0.256,-0.019,0.581
0.135,-0.046,-0.989,-0.07,0.189,-0.165,0.642,0.42,-0.025,-0.057,0.243,0.175,-0.29,-0.068,-0.512,-0.08,-0.993,-0.259,-0.046,-0.716,-0.195,-0.763,-0.269,-0.014,0.565
0.141,-0.094,-0.968,-0.077,0.159,-0.14,0.615,0.417,-0.022,-0.103,0.224,0.206,-0.326,-0.058,-0.498,-0.068,-0.978,-0.212,-0.045,-0.698,-0.179,-0.749,-0.28,-0.018,0.554
0.154,-0.151,-0.949,-0.093,0.13,-0.105,0.588,0.416,-0.019,-0.15,0.207,0.243,-0.365,-0.058,-0.487,-0.048,-0.959,-0.17,-0.044,-0.682,-0.16,-0.726,-0.292,-0.017,0.543
0.17,-0.205,-0.924,-0.1,0.097,-0.066,0.558,0.416,-0.012,-0.192,0.187,0.274,-0.393,-0.051,-0.471,-0.035,-0.936,-0.123,-0.047,-0.66,-0.141,-0.711,-0.3,-0.012,0.527
0.182,-0.258,-0.9,-0.107,0.069,-0.039,0.531,0.409,-0.008,-0.239,0.169,0.306,-0.425,-0.051,-0.46,-0.023,-0.908,-0.077,-0.046,-0.638,-0.124,-0.689,-0.31,-0.002,0.508
0.186,-0.303,-0.872,-0.119,0.041,-0.006,0.503,0.407,-0.001,-0.288,0.152,0.333,-0.457,-0.044,-0.447,-0.009,-0.878,-0.033,-0.04,-0.623,-0.108,-0.666,-0.319,0.008,0.492
0.193,-0.346,-0.844,-0.129,0.013,0.031,0.475,0.403,0.001,-0.331,0.135,0.362,-0.485,-0.045,-0.433,0,-0.847,0.007,-0.04,-0.609,-0.091,-0.645,-0.323,0.026,0.476
0.199,-0.401,-0.808,-0.145,-0.018,0.059,0.448,0.394,0.004,-0.378,0.116,0.389,-0.511,-0.038,-0.417,0.02,-0.817,0.059,-0.038,-0.583,-0.072,-0.62,-0.328,0.047,0.454
0.207,-0.444,-0.775,-0.154,-0.04,0.09,0.415,0.384,0.013,-0.417,0.095,0.417,-0.537,-0.037,-0.4,0.034,-0.79,0.106,-0.033,-0.561,-0.052,-0.593,-0.331,0.069,0.427
0.217,-0.485,-0.739,-0.16,-0.063,0.116,0.381,0.376,0.02,-0.462,0.072,0.448,-0.56,-0.034,-0.382,0.054,-0.759,0.147,-0.031,-0.533,-0.032,-0.57,-0.332,0.089,0.406
0.222,-0.522,-0.707,-0.166,-0.091,0.149,0.346,0.37,0.025,-0.501,0.053,0.472,-0.583,-0.033,-0.358,0.074,-0.715,0.191,-0.032,-0.51,-0.008,-0.546,-0.336,0.117,0.388
0.226,-0.561,-0.666,-0.172,-0.125,0.175,0.311,0.363,0.032,-0.541,0.037,0.492,-0.602,-0.024,-0.336,0.087,-0.674,0.236,-0.032,-0.482,0.007,-0.52,-0.336,0.149,0.362
0.227,-0.601,-0.628,-0.185,-0.153,0.201,0.275,0.353,0.033,-0.586,0.018,0.512,-0.625,-0.024,-0.316,0.106,-0.632,0.278,-0.03,-0.454,0.027,-0.488,-0.339,0.176,0.335
0.231,-0.638,-0.585,-0.192,-0.183,0.233,0.242,0.345,0.038,-0.625,0.005,0.528,-0.644,-0.013,-0.297,0.122,-0.588,0.314,-0.031,-0.433,0.041,-0.455,-0.334,0.204,0.308
0.237,-0.675,-0.544,-0.196,-0.209,0.254,0.206,0.336,0.041,-0.661,-0.02,0.55,-0.663,-0.013,-0.27,0.135,-0.549,0.356,-0.031,-0.397,0.059,-0.421,-0.334,0.228,0.28
