c01,c02,c03,c04,c05,c06,c07,c08,c09,c10,c11,c12,c13,c14,c15,c16,c17,c18,c19,c20,c21,c22,c23,c24,c25
0.26,-0.358,0.069,-0.084,0.039,0.158,0.297,-0.277,-0.084,0.345,-0.382,-0.216,-0.294,0.468,-0.138,-0.214,-0.171,-0.025,-0.206,-0.303,-0.515,0.458,-0.366,-0.428,-0.189
0.27,-0.343,0.016,-0.098,0.007,0.203,0.286,-0.295,-0.098,0.305,-0.406,-0.205,-0.304,0.461,-0.148,-0.189,-0.164,-0.028,-0.227,-0.291,-0.487,0.424,-0.384,-0.414,-0.192
0.294,-0.335,-0.005,-0.105,0.004,0.247,0.292,-0.303,-0.105,0.283,-0.428,-0.207,-0.305,0.451,-0.143,-0.145,-0.165,-0.034,-0.244,-0.283,-0.455,0.406,-0.407,-0.4,-0.188
0.316,-0.327,-0.029,-0.12,-0.003,0.28,0.292,-0.323,-0.12,0.263,-0.461,-0.202,-0.319,0.434,-0.14,-0.104,-0.161,-0.044,-0.269,-0.277,-0.423,0.391,-0.436,-0.387,-0.191
0.335,-0.315,-0.052,-0.132,-0.007,0.319,0.285,-0.333,-0.132,0.236,-0.485,-0.19,-0.324,0.424,-0.136,-0.071,-0.155,-0.047,-0.287,-0.266,-0.39,0.369,-0.467,-0.367,-0.196
0.352,-0.302,-0.078,-0.144,-0.016,0.353,0.285,-0.349,-0.144,0.211,-0.509,-0.182,-0.33,0.411,-0.132,-0.031,-0.152,-0.058,-0.305,-0.256,-0.357,0.35,-0.49,-0.35,-0.194
0.373,-0.29,-0.102,-0.155,-0.022,0.386,0.282,-0.359,-0.155,0.187,-0.533,-0.173,-0.334,0.397,-0.125,0.012,-0.148,-0.064,-0.324,-0.25,-0.319,0.333,-0.519,-0.333,-0.196
0.386,-0.282,-0.123,-0.167,-0.022,0.415,0.279,-0.368,-0.167,0.164,-0.553,-0.167,-0.34,0.383,-0.119,0.048,-0.142,-0.07,-0.341,-0.241,-0.281,0.313,-0.546,-0.32,-0.196
0.402,-0.27,-0.142,-0.179,-0.031,0.442,0.267,-0.376,-0.179,0.143,-0.571,-0.157,-0.346,0.372,-0.114,0.083,-0.137,-0.076,-0.36,-0.228,-0.242,0.293,-0.569,-0.302,-0.201
0.417,-0.254,-0.166,-0.198,-0.033,0.467,0.266,-0.391,-0.198,0.118,-0.59,-0.146,-0.352,0.355,-0.106,0.117,-0.131,-0.083,-0.378,-0.216,-0.205,0.274,-0.593,-0.288,-0.199
0.439,-0.237,-0.187,-0.206,-0.033,0.494,0.259,-0.396,-0.206,0.096,-0.602,-0.134,-0.351,0.337,-0.097,0.156,-0.126,-0.089,-0.388,-0.205,-0.171,0.251,-0.61,-0.268,-0.195
0.455,-0.218,-0.212,-0.218,-0.04,0.518,0.254,-0.399,-0.218,0.07,-0.614,-0.124,-0.351,0.324,-0.092,0.187,-0.121,-0.097,-0.406,-0.191,-0.126,0.229,-0.631,-0.25,-0.195
0.472,-0.204,-0.233,-0.228,-0.044,0.536,0.246,-0.403,-0.228,0.055,-0.624,-0.114,-0.356,0.306,-0.085,0.222,-0.115,-0.102,-0.42,-0.18,-0.088,0.216,-0.648,-0.229,-0.187
0.484,-0.188,-0.255,-0.239,-0.049,0.561,0.24,-0.405,-0.239,0.035,-0.636,-0.107,-0.357,0.286,-0.082,0.257,-0.11,-0.113,-0.435,-0.168,-0.054,0.192,-0.663,-0.212,-0.177
0.499,-0.172,-0.272,-0.248,-0.052,0.589,0.225,-0.405,-0.248,0.014,-0.642,-0.097,-0.356,0.269,-0.075,0.282,-0.101,-0.116,-0.446,-0.154,-0.016,0.168,-0.682,-0.193,-0.177
0.517,-0.152,-0.29,-0.26,-0.055,0.613,0.217,-0.407,-0.26,-0.004,-0.647,-0.089,-0.355,0.25,-0.068,0.305,-0.092,-0.123,-0.455,-0.139,0.024,0.142,-0.691,-0.169,-0.175
0.532,-0.131,-0.305,-0.265,-0.06,0.629,0.206,-0.409,-0.265,-0.024,-0.654,-0.075,-0.352,0.232,-0.062,0.337,-0.082,-0.125,-0.465,-0.12,0.06,0.12,-0.7,-0.144,-0.168
0.547,-0.11,-0.324,-0.269,-0.061,0.646,0.195,-0.414,-0.269,-0.045,-0.664,-0.066,-0.352,0.211,-0.056,0.366,-0.074,-0.131,-0.47,-0.108,0.096,0.099,-0.709,-0.124,-0.159
0.56,-0.092,-0.338,-0.273,-0.065,0.663,0.186,-0.41,-0.273,-0.064,-0.667,-0.056,-0.35,0.19,-0.05,0.393,-0.063,-0.134,-0.475,-0.094,0.133,0.075,-0.712,-0.1,-0.161
0.57,-0.074,-0.356,-0.277,-0.068,0.678,0.179,-0.406,-0.277,-0.083,-0.668,-0.047,-0.351,0.174,-0.044,0.418,-0.052,-0.135,-0.481,-0.08,0.171,0.049,-0.718,-0.077,-0.155
0.58,-0.059,-0.365,-0.28,-0.071,0.691,0.167,-0.404,-0.28,-0.098,-0.668,-0.037,-0.347,0.151,-0.04,0.444,-0.044,-0.137,-0.486,-0.065,0.204,0.025,-0.723,-0.056,-0.147
0.588,-0.041,-0.378,-0.279,-0.078,0.7,0.157,-0.401,-0.279,-0.116,-0.666,-0.025,-0.336,0.13,-0.031,0.464,-0.035,-0.137,-0.489,-0.051,0.24,-0.006,-0.723,-0.036,-0.142
0.595,-0.02,-0.389,-0.282,-0.078,0.703,0.146,-0.4,-0.282,-0.126,-0.663,-0.015,-0.327,0.109,-0.021,0.491,-0.025,-0.135,-0.487,-0.032,0.28,-0.033,-0.723,-0.014,-0.14
0.602,-0.004,-0.401,-0.283,-0.085,0.701,0.139,-0.39,-0.283,-0.133,-0.657,-0.007,-0.32,0.086,-0.014,0.516,-0.015,-0.135,-0.489,-0.022,0.313,-0.057,-0.719,0.009,-0.134
0.603,0.014,-0.41,-0.281,-0.089,0.703,0.131,-0.377,-0.281,-0.141,-0.654,0.003,-0.314,0.062,-0.009,0.538,-0.006,-0.137,-0.487,-0.007,0.338,-0.075,-0.714,0.027,-0.123
0.607,0.033,-0.422,-0.284,-0.086,0.705,0.12,-0.371,-0.284,-0.145,-0.642,0.01,-0.305,0.04,-0.003,0.557,0.001,-0.141,-0.485,0.003,0.373,-0.093,-0.707,0.047,-0.116
0.601,0.048,-0.429,-0.283,-0.087,0.708,0.111,-0.358,-0.283,-0.151,-0.63,0.02,-0.292,0.017,0.003,0.574,0.011,-0.14,-0.483,0.015,0.397,-0.122,-0.701,0.073,-0.107
0.602,0.065,-0.439,-0.278,-0.088,0.701,0.096,-0.348,-0.278,-0.149,-0.618,0.03,-0.276,-0.009,0.014,0.592,0.019,-0.139,-0.478,0.027,0.427,-0.142,-0.694,0.097,-0.093
0.593,0.083,-0.446,-0.278,-0.091,0.696,0.081,-0.34,-0.278,-0.151,-0.604,0.04,-0.26,-0.031,0.019,0.605,0.026,-0.141,-0.473,0.041,0.455,-0.159,-0.686,0.116,-0.083
0.592,0.101,-0.45,-0.275,-0.094,0.692,0.067,-0.333,-0.275,-0.149,-0.588,0.051,-0.245,-0.05,0.025,0.615,0.038,-0.142,-0.465,0.052,0.482,-0.175,-0.668,0.141,-0.077
0.586,0.116,-0.455,-0.275,-0.091,0.685,0.06,-0.322,-0.275,-0.148,-0.572,0.06,-0.234,-0.071,0.033,0.628,0.047,-0.143,-0.454,0.065,0.506,-0.194,-0.651,0.159,-0.067
0.58,0.133,-0.458,-0.272,-0.093,0.678,0.05,-0.31,-0.272,-0.153,-0.552,0.072,-0.225,-0.092,0.038,0.629,0.06,-0.145,-0.446,0.073,0.528,-0.214,-0.634,0.179,-0.06
0.574,0.152,-0.46,-0.264,-0.089,0.663,0.041,-0.299,-0.264,-0.154,-0.534,0.084,-0.21,-0.112,0.044,0.635,0.067,-0.146,-0.436,0.088,0.551,-0.235,-0.613,0.196,-0.05
0.566,0.164,-0.46,-0.257,-0.087,0.651,0.025,-0.29,-0.257,-0.153,-0.515,0.094,-0.196,-0.13,0.05,0.643,0.075,-0.143,-0.426,0.098,0.573,-0.255,-0.595,0.216,-0.039
0.56,0.175,-0.456,-0.251,-0.091,0.637,0.012,-0.274,-0.251,-0.151,-0.493,0.102,-0.186,-0.151,0.058,0.647,0.084,-0.137,-0.412,0.111,0.59,-0.28,-0.575,0.236,-0.03
0.557,0.189,-0.454,-0.248,-0.093,0.62,0.006,-0.256,-0.248,-0.149,-0.471,0.111,-0.174,-0.169,0.067,0.652,0.092,-0.134,-0.4,0.125,0.612,-0.293,-0.553,0.253,-0.022
0.542,0.205,-0.451,-0.242,-0.09,0.605,-0.003,-0.239,-0.242,-0.147,-0.445,0.121,-0.163,-0.187,0.071,0.652,0.097,-0.133,-0.39,0.136,0.627,-0.308,-0.531,0.266,-0.01
0.528,0.216,-0.445,-0.235,-0.087,0.589,-0.014,-0.221,-0.235,-0.144,-0.424,0.131,-0.149,-0.203,0.079,0.653,0.105,-0.132,-0.374,0.145,0.642,-0.325,-0.506,0.284,0
0.511,0.231,-0.44,-0.227,-0.086,0.562,-0.026,-0.202,-0.227,-0.139,-0.4,0.136,-0.133,-0.224,0.087,0.653,0.115,-0.127,-0.356,0.155,0.66,-0.344,-0.485,0.301,0.003
0.493,0.243,-0.43,-0.215,-0.085,0.541,-0.038,-0.183,-0.215,-0.136,-0.376,0.14,-0.117,-0.244,0.093,0.646,0.116,-0.125,-0.341,0.161,0.665,-0.353,-0.456,0.314,0.012
0.476,0.253,-0.422,-0.202,-0.088,0.521,-0.052,-0.16,-0.202,-0.131,-0.346,0.147,-0.099,-0.258,0.097,0.646,0.118,-0.119,-0.327,0.173,0.674,-0.357,-0.432,0.329,0.021
0.461,0.262,-0.409,-0.195,-0.087,0.506,-0.066,-0.14,-0.195,-0.128,-0.323,0.149,-0.086,-0.272,0.101,0.641,0.121,-0.114,-0.305,0.183,0.683,-0.366,-0.405,0.341,0.026
0.438,0.274,-0.398,-0.184,-0.083,0.478,-0.074,-0.119,-0.184,-0.123,-0.292,0.156,-0.069,-0.285,0.107,0.633,0.127,-0.112,-0.288,0.191,0.688,-0.378,-0.373,0.351,0.033
0.413,0.287,-0.389,-0.175,-0.081,0.453,-0.084,-0.1,-0.175,-0.119,-0.262,0.164,-0.047,-0.297,0.111,0.624,0.133,-0.108,-0.27,0.196,0.693,-0.385,-0.345,0.363,0.037
0.389,0.298,-0.375,-0.166,-0.078,0.426,-0.093,-0.085,-0.166,-0.112,-0.231,0.172,-0.03,-0.315,0.112,0.61,0.131,-0.105,-0.25,0.203,0.693,-0.392,-0.31,0.371,0.046
0.368,0.307,-0.359,-0.153,-0.08,0.4,-0.107,-0.069,-0.153,-0.105,-0.203,0.174,-0.013,-0.325,0.116,0.596,0.139,-0.101,-0.226,0.213,0.693,-0.402,-0.277,0.378,0.05
0.35,0.315,-0.342,-0.141,-0.078,0.369,-0.117,-0.049,-0.141,-0.101,-0.172,0.175,0.002,-0.339,0.118,0.581,0.141,-0.093,-0.205,0.219,0.691,-0.409,-0.242,0.384,0.058
0.32,0.323,-0.328,-0.13,-0.074,0.343,-0.125,-0.026,-0.13,-0.1,-0.142,0.181,0.012,-0.346,0.123,0.564,0.139,-0.084,-0.185,0.226,0.681,-0.415,-0.205,0.389,0.071
0.3,0.327,-0.316,-0.12,-0.072,0.317,-0.136,-0.008,-0.12,-0.093,-0.11,0.185,0.028,-0.354,0.122,0.555,0.143,-0.078,-0.162,0.231,0.681,-0.418,-0.175,0.395,0.08
0.274,0.334,-0.302,-0.109,-0.063,0.282,-0.145,0.01,-0.109,-0.087,-0.084,0.187,0.047,-0.364,0.123,0.531,0.147,-0.071,-0.133,0.238,0.674,-0.427,-0.138,0.401,0.089
0.244,0.34,-0.289,-0.094,-0.058,0.248,-0.154,0.025,-0.094,-0.08,-0.051,0.192,0.068,-0.373,0.122,0.51,0.152,-0.063,-0.115,0.242,0.663,-0.427,-0.101,0.409,0.1
0.221,0.345,-0.269,-0.084,-0.052,0.22,-0.159,0.04,-0.084,-0.07,-0.022,0.195,0.085,-0.382,0.122,0.49,0.152,-0.058,-0.094,0.247,0.656,-0.424,-0.067,0.413,0.106
0.193,0.348,-0.253,-0.067,-0.047,0.191,-0.166,0.055,-0.067,-0.06,0.004,0.191,0.099,-0.391,0.124,0.464,0.15,-0.052,-0.073,0.251,0.642,-0.427,-0.03,0.415,0.112
0.165,0.353,-0.235,-0.051,-0.043,0.159,-0.174,0.077,-0.051,-0.051,0.03,0.196,0.115,-0.391,0.122,0.442,0.155,-0.047,-0.051,0.251,0.628,-0.425,0.001,0.413,0.12
0.137,0.354,-0.214,-0.037,-0.032,0.13,-0.177,0.095,-0.037,-0.049,0.061,0.198,0.131,-0.392,0.122,0.41,0.155,-0.042,-0.029,0.248,0.614,-0.418,0.034,0.414,0.123
0.103,0.355,-0.194,-0.03,-0.024,0.097,-0.179,0.116,-0.03,-0.036,0.091,0.197,0.145,-0.397,0.122,0.387,0.153,-0.035,-0.006,0.25,0.6,-0.416,0.062,0.413,0.126
0.079,0.354,-0.177,-0.014,-0.011,0.065,-0.181,0.135,-0.014,-0.029,0.12,0.196,0.164,-0.404,0.122,0.362,0.153,-0.03,0.013,0.251,0.583,-0.411,0.092,0.405,0.128
0.053,0.358,-0.156,-0.001,-0.001,0.029,-0.184,0.15,-0.001,-0.024,0.152,0.196,0.173,-0.406,0.123,0.33,0.158,-0.02,0.035,0.251,0.563,-0.407,0.123,0.402,0.13
0.022,0.357,-0.132,0.011,0.004,-0.003,-0.181,0.165,0.011,-0.015,0.181,0.197,0.181,-0.403,0.124,0.306,0.156,-0.015,0.053,0.245,0.548,-0.404,0.155,0.393,0.132
-0.004,0.355,-0.109,0.023,0.013,-0.036,-0.184,0.183,0.023,-0.009,0.209,0.194,0.191,-0.4,0.125,0.283,0.155,-0.01,0.077,0.241,0.529,-0.394,0.183,0.385,0.138
-0.03,0.354,-0.091,0.037,0.019,-0.071,-0.187,0.202,0.037,-0.007,0.237,0.19,0.199,-0.399,0.124,0.253,0.152,-0.003,0.107,0.237,0.507,-0.388,0.213,0.379,0.142
-0.061,0.349,-0.065,0.047,0.03,-0.105,-0.189,0.217,0.047,-0.002,0.265,0.194,0.208,-0.393,0.122,0.223,0.15,0.004,0.13,0.234,0.483,-0.376,0.241,0.368,0.148
-0.092,0.344,-0.047,0.058,0.035,-0.138,-0.19,0.236,0.058,0.002,0.294,0.19,0.217,-0.391,0.122,0.193,0.147,0.011,0.154,0.228,0.464,-0.365,0.271,0.361,0.153
-0.122,0.34,-0.03,0.071,0.041,-0.169,-0.191,0.25,0.071,0.011,0.317,0.184,0.227,-0.386,0.122,0.171,0.146,0.022,0.174,0.226,0.435,-0.359,0.302,0.352,0.156
-0.146,0.335,-0.01,0.085,0.048,-0.196,-0.196,0.258,0.085,0.016,0.337,0.179,0.235,-0.377,0.118,0.14,0.143,0.032,0.19,0.223,0.403,-0.349,0.333,0.341,0.161
-0.177,0.328,0.013,0.097,0.053,-0.225,-0.203,0.269,0.097,0.026,0.36,0.174,0.242,-0.368,0.115,0.111,0.133,0.037,0.216,0.219,0.377,-0.333,0.364,0.332,0.161
-0.206,0.317,0.032,0.107,0.059,-0.254,-0.204,0.279,0.107,0.034,0.381,0.17,0.25,-0.356,0.113,0.082,0.125,0.04,0.233,0.214,0.35,-0.317,0.393,0.32,0.165
-0.232,0.311,0.053,0.117,0.065,-0.277,-0.206,0.293,0.117,0.039,0.403,0.163,0.262,-0.351,0.108,0.051,0.117,0.048,0.249,0.208,0.319,-0.3,0.419,0.313,0.167
-0.254,0.304,0.071,0.127,0.072,-0.303,-0.202,0.302,0.127,0.045,0.423,0.156,0.266,-0.341,0.108,0.018,0.111,0.051,0.266,0.197,0.288,-0.286,0.441,0.302,0.166
-0.278,0.294,0.091,0.137,0.078,-0.325,-0.202,0.311,0.137,0.057,0.44,0.147,0.272,-0.325,0.103,-0.012,0.105,0.06,0.278,0.193,0.255,-0.269,0.459,0.284,0.163
