c01,c02,c03,c04,c05,c06,c07,c08,c09,c10,c11,c12,c13,c14,c15,c16,c17,c18,c19,c20,c21,c22,c23,c24,c25
-0.174,-0.097,-0.231,-0.482,-0.182,-0.174,0.422,0.218,0.324,-0.353,-0.079,0.333,-0.106,0.181,-0.09,-0.036,0.232,0.204,-0.084,0.376,0.026,-0.259,-0.049,0.066,-0.067
-0.177,-0.104,-0.232,-0.515,-0.153,-0.177,0.393,0.204,0.339,-0.343,-0.092,0.354,-0.174,0.189,-0.102,-0.012,0.226,0.216,-0.101,0.359,0.016,-0.296,-0.007,0.054,-0.077
-0.182,-0.127,-0.23,-0.522,-0.127,-0.174,0.366,0.188,0.35,-0.344,-0.089,0.353,-0.187,0.215,-0.12,-0.005,0.223,0.217,-0.121,0.347,0.013,-0.313,-0.004,0.057,-0.062
-0.186,-0.137,-0.225,-0.528,-0.098,-0.174,0.345,0.174,0.356,-0.343,-0.089,0.355,-0.196,0.23,-0.14,-0.002,0.21,0.219,-0.133,0.337,0.005,-0.328,0.005,0.048,-0.049
-0.192,-0.15,-0.22,-0.539,-0.073,-0.176,0.326,0.16,0.369,-0.334,-0.087,0.348,-0.2,0.231,-0.159,0.002,0.198,0.217,-0.145,0.328,0.003,-0.338,0.017,0.041,-0.025
-0.195,-0.16,-0.216,-0.549,-0.043,-0.177,0.303,0.145,0.374,-0.327,-0.087,0.347,-0.212,0.242,-0.176,0.006,0.188,0.217,-0.154,0.317,-0.003,-0.351,0.03,0.037,-0.01
-0.204,-0.174,-0.209,-0.554,-0.015,-0.176,0.282,0.133,0.379,-0.321,-0.086,0.34,-0.215,0.244,-0.189,0.01,0.179,0.214,-0.165,0.309,-0.003,-0.361,0.036,0.03,0.006
-0.209,-0.184,-0.206,-0.561,0.009,-0.175,0.262,0.115,0.388,-0.313,-0.086,0.336,-0.215,0.252,-0.207,0.013,0.169,0.211,-0.174,0.298,-0.007,-0.37,0.043,0.025,0.02
-0.211,-0.189,-0.201,-0.568,0.035,-0.175,0.239,0.103,0.391,-0.309,-0.086,0.334,-0.217,0.253,-0.223,0.016,0.156,0.207,-0.177,0.289,-0.011,-0.379,0.056,0.013,0.033
-0.214,-0.201,-0.193,-0.577,0.058,-0.177,0.218,0.086,0.392,-0.303,-0.088,0.325,-0.22,0.255,-0.236,0.016,0.149,0.202,-0.182,0.277,-0.017,-0.387,0.065,0.001,0.049
-0.218,-0.212,-0.186,-0.579,0.086,-0.174,0.199,0.071,0.399,-0.292,-0.087,0.32,-0.22,0.26,-0.251,0.016,0.141,0.191,-0.187,0.265,-0.02,-0.395,0.071,-0.008,0.063
-0.219,-0.223,-0.181,-0.583,0.11,-0.173,0.173,0.057,0.402,-0.283,-0.084,0.311,-0.221,0.26,-0.263,0.021,0.13,0.185,-0.189,0.248,-0.025,-0.4,0.085,-0.013,0.082
-0.22,-0.224,-0.173,-0.587,0.139,-0.175,0.149,0.038,0.408,-0.277,-0.085,0.308,-0.22,0.269,-0.272,0.027,0.12,0.176,-0.196,0.233,-0.029,-0.404,0.087,-0.022,0.094
-0.22,-0.23,-0.165,-0.585,0.159,-0.172,0.124,0.023,0.41,-0.266,-0.084,0.3,-0.22,0.272,-0.282,0.026,0.107,0.17,-0.197,0.216,-0.036,-0.409,0.094,-0.03,0.107
-0.223,-0.235,-0.156,-0.581,0.184,-0.169,0.101,0.009,0.423,-0.258,-0.085,0.294,-0.221,0.271,-0.293,0.029,0.099,0.163,-0.199,0.2,-0.038,-0.411,0.102,-0.04,0.119
-0.221,-0.238,-0.149,-0.578,0.211,-0.167,0.079,-0.008,0.428,-0.248,-0.082,0.289,-0.218,0.281,-0.304,0.031,0.087,0.156,-0.197,0.179,-0.045,-0.415,0.109,-0.047,0.136
-0.221,-0.24,-0.138,-0.565,0.232,-0.166,0.051,-0.026,0.43,-0.239,-0.079,0.278,-0.217,0.286,-0.314,0.032,0.076,0.148,-0.194,0.157,-0.048,-0.411,0.119,-0.055,0.153
-0.219,-0.24,-0.125,-0.559,0.252,-0.161,0.029,-0.042,0.436,-0.221,-0.08,0.27,-0.213,0.29,-0.323,0.034,0.062,0.142,-0.199,0.141,-0.05,-0.414,0.123,-0.065,0.169
-0.215,-0.24,-0.12,-0.551,0.275,-0.154,0.004,-0.055,0.446,-0.206,-0.075,0.265,-0.211,0.29,-0.334,0.037,0.046,0.133,-0.195,0.123,-0.052,-0.409,0.128,-0.068,0.183
-0.214,-0.233,-0.109,-0.547,0.293,-0.152,-0.019,-0.069,0.446,-0.192,-0.075,0.252,-0.21,0.282,-0.34,0.04,0.032,0.128,-0.194,0.108,-0.053,-0.405,0.138,-0.07,0.197
-0.212,-0.232,-0.096,-0.535,0.311,-0.144,-0.039,-0.087,0.45,-0.175,-0.072,0.244,-0.205,0.277,-0.343,0.041,0.019,0.122,-0.193,0.091,-0.054,-0.401,0.14,-0.08,0.204
-0.214,-0.234,-0.086,-0.521,0.329,-0.133,-0.065,-0.1,0.451,-0.158,-0.07,0.231,-0.201,0.272,-0.351,0.037,0.008,0.113,-0.186,0.073,-0.058,-0.401,0.146,-0.086,0.214
-0.21,-0.237,-0.075,-0.509,0.35,-0.127,-0.087,-0.111,0.455,-0.144,-0.066,0.223,-0.195,0.267,-0.355,0.039,0,0.105,-0.186,0.056,-0.056,-0.393,0.152,-0.093,0.223
-0.205,-0.233,-0.064,-0.495,0.359,-0.119,-0.112,-0.121,0.452,-0.133,-0.063,0.212,-0.188,0.267,-0.359,0.037,-0.014,0.096,-0.185,0.036,-0.058,-0.39,0.154,-0.099,0.231
-0.198,-0.233,-0.05,-0.483,0.37,-0.112,-0.135,-0.126,0.453,-0.115,-0.061,0.198,-0.181,0.26,-0.363,0.037,-0.026,0.086,-0.181,0.022,-0.058,-0.382,0.156,-0.101,0.236
-0.19,-0.237,-0.041,-0.476,0.388,-0.107,-0.152,-0.12,0.455,-0.096,-0.06,0.186,-0.174,0.248,-0.363,0.038,-0.04,0.076,-0.18,0.008,-0.06,-0.38,0.159,-0.107,0.242
-0.185,-0.233,-0.027,-0.456,0.405,-0.099,-0.171,-0.117,0.455,-0.081,-0.054,0.168,-0.166,0.242,-0.363,0.037,-0.054,0.065,-0.173,-0.011,-0.059,-0.37,0.161,-0.108,0.249
-0.18,-0.228,-0.014,-0.436,0.416,-0.093,-0.194,-0.115,0.446,-0.063,-0.051,0.151,-0.157,0.236,-0.36,0.034,-0.063,0.059,-0.171,-0.027,-0.059,-0.367,0.164,-0.11,0.255
-0.174,-0.229,0.001,-0.41,0.429,-0.089,-0.213,-0.112,0.443,-0.049,-0.047,0.138,-0.147,0.23,-0.359,0.032,-0.075,0.049,-0.165,-0.048,-0.058,-0.359,0.164,-0.117,0.261
-0.162,-0.224,0.01,-0.392,0.44,-0.086,-0.236,-0.102,0.439,-0.037,-0.048,0.123,-0.139,0.224,-0.356,0.035,-0.085,0.041,-0.159,-0.066,-0.06,-0.351,0.169,-0.115,0.262
-0.147,-0.22,0.02,-0.373,0.445,-0.079,-0.251,-0.088,0.43,-0.024,-0.043,0.106,-0.132,0.218,-0.351,0.036,-0.094,0.033,-0.152,-0.084,-0.061,-0.339,0.172,-0.117,0.267
-0.138,-0.213,0.031,-0.348,0.452,-0.071,-0.269,-0.075,0.42,-0.011,-0.041,0.085,-0.123,0.215,-0.35,0.04,-0.108,0.021,-0.141,-0.095,-0.06,-0.329,0.17,-0.121,0.266
-0.127,-0.215,0.041,-0.329,0.458,-0.062,-0.281,-0.062,0.413,0.011,-0.037,0.066,-0.118,0.199,-0.347,0.042,-0.117,0.009,-0.132,-0.112,-0.063,-0.313,0.168,-0.123,0.269
-0.119,-0.21,0.048,-0.304,0.463,-0.055,-0.3,-0.052,0.404,0.028,-0.034,0.05,-0.108,0.186,-0.342,0.041,-0.129,-0.003,-0.128,-0.129,-0.065,-0.3,0.169,-0.128,0.272
-0.113,-0.198,0.058,-0.276,0.463,-0.045,-0.318,-0.044,0.389,0.04,-0.03,0.035,-0.101,0.177,-0.337,0.042,-0.135,-0.014,-0.12,-0.147,-0.067,-0.284,0.164,-0.135,0.275
-0.105,-0.193,0.068,-0.248,0.463,-0.039,-0.333,-0.04,0.374,0.053,-0.026,0.023,-0.093,0.162,-0.334,0.043,-0.139,-0.026,-0.11,-0.161,-0.069,-0.267,0.159,-0.137,0.271
-0.096,-0.19,0.079,-0.225,0.466,-0.032,-0.343,-0.028,0.366,0.066,-0.022,0.006,-0.081,0.147,-0.331,0.046,-0.147,-0.037,-0.104,-0.176,-0.072,-0.25,0.158,-0.142,0.274
-0.088,-0.182,0.087,-0.205,0.465,-0.019,-0.354,-0.017,0.352,0.08,-0.019,-0.011,-0.071,0.136,-0.325,0.049,-0.151,-0.048,-0.1,-0.191,-0.072,-0.234,0.153,-0.146,0.271
-0.082,-0.174,0.095,-0.177,0.466,-0.01,-0.365,-0.007,0.338,0.096,-0.013,-0.025,-0.063,0.122,-0.321,0.046,-0.157,-0.059,-0.092,-0.204,-0.071,-0.217,0.145,-0.146,0.275
-0.076,-0.165,0.105,-0.153,0.468,-0.002,-0.382,-0.001,0.324,0.111,-0.011,-0.035,-0.05,0.109,-0.315,0.044,-0.162,-0.069,-0.085,-0.216,-0.067,-0.202,0.142,-0.144,0.273
-0.068,-0.154,0.112,-0.127,0.465,0.005,-0.392,0.009,0.305,0.128,-0.005,-0.051,-0.039,0.09,-0.305,0.045,-0.169,-0.077,-0.08,-0.23,-0.071,-0.182,0.143,-0.14,0.273
