c01,c02,c03,c04,c05,c06,c07,c08,c09,c10,c11,c12,c13,c14,c15,c16,c17,c18,c19,c20,c21,c22,c23,c24,c25
-0.083,-0.094,0.179,0.344,-0.159,0.255,-0.301,0.042,-0.172,-0.064,-0.412,-0.164,-0.129,0.056,-0.053,-0.423,0.069,0.019,0.152,-0.391,0.565,0.209,0.065,-0.449,0.225
-0.093,-0.072,0.173,0.334,-0.14,0.27,-0.318,0.042,-0.214,-0.048,-0.4,-0.179,-0.126,0.041,-0.075,-0.444,0.036,0.009,0.173,-0.421,0.562,0.165,0.086,-0.474,0.216
-0.097,-0.044,0.175,0.334,-0.119,0.262,-0.323,0.045,-0.239,-0.039,-0.411,-0.181,-0.126,0.035,-0.08,-0.461,0.011,0.007,0.191,-0.43,0.565,0.137,0.092,-0.476,0.218
-0.106,-0.02,0.174,0.329,-0.101,0.26,-0.336,0.045,-0.268,-0.03,-0.417,-0.19,-0.12,0.022,-0.093,-0.48,-0.007,0.001,0.206,-0.43,0.564,0.103,0.09,-0.472,0.22
-0.114,0.004,0.173,0.326,-0.086,0.251,-0.337,0.039,-0.289,-0.025,-0.417,-0.195,-0.114,0.008,-0.103,-0.506,-0.026,0.001,0.214,-0.42,0.562,0.085,0.087,-0.472,0.215
-0.119,0.032,0.177,0.319,-0.07,0.246,-0.346,0.038,-0.317,-0.015,-0.417,-0.202,-0.11,-0.004,-0.114,-0.526,-0.048,-0.003,0.228,-0.421,0.556,0.058,0.087,-0.468,0.211
-0.125,0.054,0.179,0.315,-0.058,0.238,-0.349,0.035,-0.342,-0.011,-0.417,-0.212,-0.108,-0.015,-0.126,-0.544,-0.069,-0.003,0.235,-0.411,0.554,0.034,0.084,-0.461,0.214
-0.13,0.075,0.177,0.315,-0.04,0.226,-0.358,0.029,-0.368,-0.001,-0.419,-0.218,-0.103,-0.028,-0.136,-0.561,-0.089,-0.007,0.247,-0.408,0.553,0.01,0.08,-0.456,0.212
-0.135,0.093,0.177,0.307,-0.025,0.214,-0.365,0.025,-0.391,0.008,-0.418,-0.218,-0.099,-0.043,-0.145,-0.58,-0.103,-0.011,0.256,-0.401,0.544,-0.018,0.078,-0.452,0.205
-0.145,0.114,0.178,0.298,-0.01,0.204,-0.373,0.018,-0.414,0.015,-0.416,-0.215,-0.097,-0.054,-0.157,-0.597,-0.126,-0.012,0.265,-0.39,0.534,-0.038,0.073,-0.442,0.201
-0.151,0.137,0.171,0.291,0.005,0.187,-0.38,0.014,-0.435,0.02,-0.415,-0.209,-0.093,-0.069,-0.17,-0.61,-0.142,-0.012,0.275,-0.376,0.526,-0.063,0.069,-0.431,0.196
-0.153,0.161,0.169,0.282,0.015,0.174,-0.379,0.008,-0.456,0.027,-0.411,-0.204,-0.088,-0.08,-0.179,-0.624,-0.164,-0.014,0.286,-0.369,0.51,-0.087,0.065,-0.423,0.188
-0.159,0.186,0.166,0.271,0.03,0.161,-0.385,0.008,-0.475,0.039,-0.41,-0.195,-0.086,-0.09,-0.186,-0.635,-0.181,-0.017,0.299,-0.36,0.494,-0.118,0.061,-0.411,0.179
-0.16,0.206,0.162,0.26,0.043,0.148,-0.389,0.007,-0.495,0.045,-0.404,-0.184,-0.083,-0.1,-0.192,-0.641,-0.2,-0.016,0.309,-0.355,0.482,-0.141,0.058,-0.394,0.173
-0.165,0.224,0.155,0.256,0.058,0.137,-0.39,0.004,-0.514,0.051,-0.397,-0.171,-0.08,-0.115,-0.195,-0.648,-0.219,-0.016,0.315,-0.343,0.471,-0.168,0.055,-0.384,0.164
-0.168,0.248,0.148,0.244,0.071,0.131,-0.388,0.002,-0.534,0.059,-0.393,-0.151,-0.079,-0.128,-0.192,-0.654,-0.236,-0.013,0.323,-0.33,0.451,-0.191,0.05,-0.367,0.15
-0.172,0.271,0.145,0.229,0.079,0.116,-0.389,0.003,-0.543,0.066,-0.384,-0.129,-0.076,-0.136,-0.188,-0.658,-0.251,-0.012,0.329,-0.319,0.428,-0.217,0.046,-0.352,0.136
-0.177,0.291,0.134,0.22,0.091,0.102,-0.388,0.003,-0.558,0.069,-0.371,-0.114,-0.07,-0.147,-0.184,-0.661,-0.266,-0.007,0.336,-0.304,0.412,-0.236,0.042,-0.335,0.129
-0.175,0.309,0.128,0.207,0.1,0.09,-0.378,0.002,-0.571,0.073,-0.36,-0.1,-0.065,-0.155,-0.18,-0.664,-0.278,-0.006,0.341,-0.288,0.395,-0.261,0.035,-0.318,0.121
-0.172,0.323,0.122,0.196,0.11,0.079,-0.371,-0.001,-0.579,0.08,-0.346,-0.085,-0.063,-0.161,-0.171,-0.667,-0.29,-0.007,0.347,-0.274,0.374,-0.282,0.03,-0.299,0.112
