c01,c02,c03,c04,c05,c06,c07,c08,c09,c10,c11,c12,c13,c14,c15,c16,c17,c18,c19,c20,c21,c22,c23,c24,c25
-0.185,0.124,0.117,0.205,-0.431,0.339,-0.262,-0.542,-0.68,-0.592,-0.268,-0.246,-0.227,0.209,-0.601,-0.049,0.379,0.232,-0.131,-0.512,0.124,0.361,-0.232,-0.227,-0.956
-0.169,0.114,0.145,0.217,-0.378,0.326,-0.218,-0.536,-0.681,-0.64,-0.263,-0.241,-0.201,0.26,-0.587,-0.081,0.388,0.188,-0.148,-0.512,0.114,0.364,-0.224,-0.218,-0.903
-0.14,0.129,0.162,0.224,-0.317,0.323,-0.217,-0.537,-0.689,-0.704,-0.245,-0.231,-0.191,0.279,-0.555,-0.076,0.38,0.181,-0.154,-0.498,0.129,0.383,-0.199,-0.206,-0.857
-0.119,0.137,0.19,0.232,-0.265,0.314,-0.2,-0.535,-0.688,-0.765,-0.225,-0.228,-0.18,0.293,-0.515,-0.082,0.382,0.179,-0.167,-0.469,0.137,0.391,-0.18,-0.198,-0.816
-0.087,0.145,0.201,0.239,-0.208,0.311,-0.181,-0.531,-0.682,-0.82,-0.2,-0.225,-0.167,0.308,-0.481,-0.088,0.375,0.18,-0.161,-0.447,0.145,0.396,-0.158,-0.189,-0.774
-0.059,0.15,0.218,0.254,-0.152,0.302,-0.161,-0.528,-0.677,-0.873,-0.183,-0.221,-0.151,0.328,-0.449,-0.093,0.368,0.168,-0.168,-0.425,0.15,0.403,-0.139,-0.181,-0.729
-0.028,0.162,0.23,0.268,-0.094,0.301,-0.151,-0.528,-0.671,-0.933,-0.157,-0.217,-0.141,0.339,-0.414,-0.092,0.356,0.166,-0.177,-0.403,0.162,0.407,-0.118,-0.173,-0.682
-0.004,0.172,0.245,0.281,-0.041,0.294,-0.14,-0.518,-0.661,-0.979,-0.133,-0.213,-0.129,0.351,-0.379,-0.099,0.346,0.167,-0.182,-0.376,0.172,0.414,-0.1,-0.162,-0.632
0.02,0.18,0.254,0.298,0.013,0.288,-0.12,-0.511,-0.653,-1.027,-0.117,-0.204,-0.117,0.367,-0.342,-0.105,0.331,0.162,-0.188,-0.348,0.18,0.411,-0.08,-0.152,-0.589
0.048,0.186,0.269,0.313,0.072,0.275,-0.102,-0.503,-0.641,-1.064,-0.094,-0.2,-0.101,0.38,-0.307,-0.108,0.319,0.156,-0.19,-0.326,0.186,0.407,-0.064,-0.142,-0.534
0.072,0.193,0.273,0.329,0.128,0.272,-0.083,-0.494,-0.625,-1.092,-0.077,-0.192,-0.084,0.399,-0.274,-0.112,0.303,0.149,-0.188,-0.308,0.193,0.405,-0.046,-0.134,-0.479
0.097,0.2,0.283,0.345,0.18,0.263,-0.068,-0.48,-0.61,-1.116,-0.054,-0.182,-0.063,0.417,-0.236,-0.114,0.287,0.146,-0.185,-0.288,0.2,0.398,-0.033,-0.126,-0.43
0.125,0.204,0.294,0.362,0.23,0.258,-0.055,-0.469,-0.597,-1.129,-0.047,-0.173,-0.045,0.43,-0.197,-0.116,0.275,0.141,-0.189,-0.261,0.204,0.394,-0.017,-0.121,-0.376
0.14,0.213,0.303,0.379,0.284,0.245,-0.039,-0.452,-0.579,-1.132,-0.025,-0.164,-0.031,0.443,-0.16,-0.116,0.259,0.133,-0.191,-0.239,0.213,0.387,-0.004,-0.106,-0.316
0.158,0.217,0.312,0.391,0.335,0.232,-0.025,-0.434,-0.557,-1.127,0.001,-0.158,-0.014,0.455,-0.123,-0.12,0.245,0.133,-0.188,-0.215,0.217,0.38,0.016,-0.097,-0.259
0.178,0.22,0.319,0.4,0.385,0.218,-0.008,-0.421,-0.537,-1.112,0.017,-0.145,0.007,0.464,-0.084,-0.122,0.232,0.127,-0.188,-0.185,0.22,0.375,0.032,-0.089,-0.203
0.2,0.228,0.326,0.408,0.434,0.209,0.011,-0.405,-0.517,-1.098,0.034,-0.136,0.023,0.473,-0.049,-0.12,0.216,0.114,-0.186,-0.157,0.228,0.366,0.048,-0.08,-0.148
0.217,0.232,0.334,0.41,0.475,0.2,0.023,-0.384,-0.497,-1.07,0.057,-0.13,0.04,0.48,-0.009,-0.123,0.202,0.107,-0.183,-0.131,0.232,0.366,0.058,-0.069,-0.087
0.235,0.235,0.336,0.424,0.522,0.192,0.043,-0.365,-0.468,-1.041,0.08,-0.122,0.056,0.486,0.026,-0.124,0.189,0.102,-0.177,-0.102,0.235,0.36,0.074,-0.063,-0.036
0.262,0.238,0.347,0.431,0.569,0.175,0.058,-0.349,-0.442,-1.01,0.101,-0.116,0.072,0.484,0.062,-0.119,0.174,0.092,-0.178,-0.076,0.238,0.349,0.09,-0.049,0.019
0.283,0.24,0.346,0.435,0.618,0.161,0.077,-0.328,-0.417,-0.981,0.119,-0.108,0.084,0.485,0.098,-0.124,0.154,0.086,-0.173,-0.047,0.24,0.344,0.109,-0.043,0.08
0.3,0.243,0.343,0.442,0.661,0.145,0.094,-0.31,-0.387,-0.941,0.146,-0.102,0.097,0.485,0.133,-0.126,0.131,0.075,-0.171,-0.016,0.243,0.332,0.122,-0.029,0.132
0.325,0.243,0.346,0.446,0.702,0.132,0.111,-0.29,-0.356,-0.903,0.165,-0.094,0.113,0.481,0.17,-0.125,0.115,0.067,-0.165,0.011,0.243,0.323,0.137,-0.016,0.186
0.345,0.246,0.345,0.444,0.742,0.124,0.125,-0.268,-0.329,-0.87,0.18,-0.079,0.128,0.475,0.203,-0.124,0.096,0.056,-0.161,0.037,0.246,0.313,0.144,-0.006,0.242
0.364,0.243,0.35,0.449,0.78,0.113,0.142,-0.239,-0.303,-0.829,0.201,-0.076,0.137,0.476,0.237,-0.121,0.076,0.042,-0.148,0.063,0.243,0.299,0.161,0.009,0.291
0.38,0.242,0.352,0.451,0.814,0.095,0.155,-0.213,-0.275,-0.781,0.217,-0.066,0.151,0.468,0.274,-0.119,0.055,0.038,-0.139,0.092,0.242,0.285,0.175,0.02,0.345
0.398,0.243,0.349,0.452,0.846,0.083,0.168,-0.19,-0.237,-0.738,0.237,-0.054,0.165,0.461,0.298,-0.111,0.038,0.028,-0.131,0.114,0.243,0.266,0.193,0.033,0.389
0.412,0.238,0.353,0.444,0.872,0.07,0.179,-0.165,-0.207,-0.694,0.249,-0.044,0.174,0.452,0.329,-0.105,0.014,0.021,-0.127,0.14,0.238,0.252,0.205,0.045,0.44
0.419,0.233,0.342,0.439,0.898,0.058,0.19,-0.138,-0.171,-0.641,0.263,-0.034,0.186,0.446,0.36,-0.102,-0.011,0.013,-0.119,0.17,0.233,0.239,0.223,0.056,0.491
0.43,0.23,0.339,0.436,0.917,0.044,0.201,-0.115,-0.142,-0.584,0.275,-0.03,0.199,0.435,0.388,-0.097,-0.034,0.004,-0.112,0.195,0.23,0.226,0.234,0.075,0.534
0.439,0.225,0.335,0.428,0.935,0.029,0.211,-0.086,-0.106,-0.534,0.29,-0.023,0.211,0.43,0.418,-0.091,-0.056,-0.005,-0.102,0.219,0.225,0.21,0.247,0.083,0.579
0.445,0.216,0.33,0.419,0.952,0.015,0.222,-0.061,-0.074,-0.48,0.297,-0.006,0.221,0.419,0.442,-0.089,-0.076,-0.015,-0.096,0.241,0.216,0.195,0.257,0.091,0.621
0.454,0.21,0.32,0.417,0.967,-0.001,0.236,-0.038,-0.044,-0.422,0.309,0,0.224,0.409,0.469,-0.082,-0.098,-0.023,-0.086,0.265,0.21,0.177,0.272,0.1,0.66
0.46,0.205,0.306,0.406,0.978,-0.017,0.243,-0.014,-0.008,-0.365,0.317,0.015,0.239,0.4,0.496,-0.08,-0.119,-0.023,-0.078,0.287,0.205,0.162,0.279,0.106,0.698
0.468,0.198,0.292,0.397,0.991,-0.028,0.26,0.01,0.028,-0.31,0.33,0.02,0.245,0.389,0.525,-0.076,-0.142,-0.035,-0.07,0.309,0.198,0.146,0.291,0.118,0.734
