c01,c02,c03,c04,c05,c06,c07,c08,c09,c10,c11,c12,c13,c14,c15,c16,c17,c18,c19,c20,c21,c22,c23,c24,c25
-0.157,-0.029,0.5,0.605,-0.267,0.298,-0.491,0.717,-0.376,-0.009,-0.134,0.125,-1.059,0.09,-0.289,-0.236,-0.018,0.687,0.386,0.138,0.343,-0.145,-0.563,-0.201,-0.226
-0.158,-0.001,0.449,0.6,-0.264,0.282,-0.49,0.73,-0.409,-0.004,-0.13,0.133,-1.036,0.053,-0.295,-0.259,-0.012,0.653,0.385,0.14,0.356,-0.138,-0.553,-0.211,-0.218
-0.165,0.016,0.404,0.613,-0.266,0.26,-0.48,0.732,-0.429,0.011,-0.136,0.138,-1.001,0.025,-0.284,-0.267,-0.005,0.626,0.406,0.13,0.364,-0.126,-0.559,-0.217,-0.208
-0.172,0.024,0.365,0.613,-0.275,0.249,-0.472,0.75,-0.46,0.024,-0.139,0.141,-0.972,-0.005,-0.273,-0.27,0.005,0.6,0.413,0.131,0.37,-0.105,-0.58,-0.207,-0.191
-0.178,0.029,0.328,0.616,-0.283,0.23,-0.454,0.755,-0.483,0.029,-0.146,0.14,-0.94,-0.037,-0.263,-0.278,0.011,0.577,0.422,0.13,0.373,-0.077,-0.593,-0.198,-0.178
-0.179,0.046,0.289,0.616,-0.289,0.213,-0.446,0.762,-0.506,0.037,-0.148,0.143,-0.909,-0.068,-0.254,-0.285,0.021,0.547,0.43,0.127,0.373,-0.054,-0.605,-0.193,-0.163
-0.184,0.052,0.25,0.618,-0.296,0.195,-0.43,0.766,-0.532,0.045,-0.152,0.145,-0.881,-0.095,-0.244,-0.29,0.023,0.523,0.437,0.127,0.375,-0.029,-0.622,-0.19,-0.142
-0.19,0.062,0.208,0.621,-0.305,0.173,-0.423,0.76,-0.55,0.055,-0.159,0.14,-0.843,-0.126,-0.237,-0.294,0.032,0.497,0.446,0.116,0.38,-0.009,-0.638,-0.183,-0.123
-0.19,0.064,0.165,0.618,-0.312,0.154,-0.411,0.758,-0.57,0.062,-0.163,0.143,-0.808,-0.159,-0.222,-0.3,0.042,0.471,0.453,0.112,0.379,0.017,-0.653,-0.175,-0.107
-0.195,0.071,0.127,0.61,-0.315,0.135,-0.398,0.753,-0.59,0.067,-0.163,0.145,-0.772,-0.183,-0.211,-0.308,0.047,0.443,0.456,0.107,0.378,0.044,-0.67,-0.163,-0.086
-0.197,0.079,0.082,0.606,-0.318,0.11,-0.384,0.742,-0.604,0.072,-0.172,0.146,-0.728,-0.215,-0.202,-0.311,0.06,0.413,0.46,0.102,0.374,0.063,-0.679,-0.156,-0.065
-0.197,0.091,0.042,0.597,-0.327,0.086,-0.368,0.729,-0.616,0.075,-0.175,0.147,-0.681,-0.239,-0.192,-0.319,0.063,0.38,0.465,0.095,0.366,0.087,-0.686,-0.151,-0.047
-0.201,0.105,0.003,0.592,-0.329,0.063,-0.351,0.717,-0.625,0.084,-0.179,0.148,-0.638,-0.265,-0.178,-0.32,0.075,0.349,0.467,0.091,0.362,0.106,-0.697,-0.143,-0.028
-0.197,0.111,-0.042,0.582,-0.329,0.042,-0.337,0.705,-0.639,0.088,-0.184,0.146,-0.594,-0.29,-0.167,-0.325,0.081,0.318,0.468,0.081,0.363,0.132,-0.7,-0.134,-0.005
-0.2,0.113,-0.086,0.576,-0.327,0.02,-0.32,0.691,-0.651,0.095,-0.188,0.145,-0.544,-0.32,-0.15,-0.327,0.082,0.285,0.466,0.076,0.364,0.15,-0.706,-0.125,0.014
-0.199,0.123,-0.134,0.566,-0.325,0.005,-0.301,0.678,-0.657,0.103,-0.193,0.141,-0.491,-0.346,-0.133,-0.327,0.091,0.253,0.465,0.071,0.356,0.169,-0.705,-0.112,0.029
-0.194,0.13,-0.176,0.551,-0.324,-0.018,-0.281,0.665,-0.662,0.107,-0.19,0.144,-0.444,-0.368,-0.113,-0.327,0.097,0.221,0.461,0.069,0.343,0.189,-0.706,-0.104,0.046
-0.192,0.141,-0.217,0.54,-0.321,-0.039,-0.26,0.647,-0.663,0.112,-0.192,0.139,-0.394,-0.392,-0.098,-0.324,0.102,0.187,0.456,0.065,0.338,0.213,-0.698,-0.095,0.067
-0.19,0.146,-0.258,0.523,-0.323,-0.055,-0.238,0.629,-0.67,0.113,-0.195,0.136,-0.339,-0.416,-0.082,-0.32,0.108,0.152,0.448,0.063,0.333,0.232,-0.693,-0.087,0.085
-0.185,0.148,-0.297,0.507,-0.321,-0.069,-0.214,0.613,-0.672,0.119,-0.192,0.135,-0.287,-0.436,-0.067,-0.319,0.11,0.117,0.446,0.057,0.325,0.256,-0.688,-0.075,0.103
-0.182,0.15,-0.338,0.489,-0.313,-0.085,-0.195,0.592,-0.67,0.127,-0.189,0.129,-0.238,-0.46,-0.049,-0.313,0.117,0.085,0.44,0.053,0.315,0.272,-0.686,-0.067,0.122
-0.176,0.153,-0.378,0.467,-0.31,-0.102,-0.18,0.57,-0.666,0.132,-0.19,0.128,-0.183,-0.477,-0.033,-0.308,0.12,0.048,0.43,0.045,0.305,0.287,-0.672,-0.059,0.137
-0.167,0.16,-0.416,0.449,-0.307,-0.12,-0.158,0.543,-0.662,0.137,-0.188,0.128,-0.128,-0.497,-0.016,-0.298,0.123,0.016,0.421,0.039,0.287,0.296,-0.665,-0.054,0.155
-0.154,0.163,-0.452,0.421,-0.301,-0.138,-0.136,0.513,-0.655,0.141,-0.186,0.126,-0.075,-0.512,-0.002,-0.287,0.127,-0.016,0.411,0.03,0.275,0.315,-0.656,-0.045,0.17
-0.142,0.164,-0.477,0.39,-0.297,-0.158,-0.111,0.484,-0.648,0.141,-0.183,0.127,-0.025,-0.527,0.012,-0.283,0.132,-0.054,0.403,0.024,0.265,0.328,-0.641,-0.036,0.185
-0.128,0.164,-0.508,0.368,-0.29,-0.172,-0.088,0.453,-0.638,0.145,-0.184,0.123,0.035,-0.541,0.026,-0.278,0.139,-0.09,0.39,0.015,0.253,0.341,-0.627,-0.025,0.201
-0.111,0.169,-0.54,0.343,-0.283,-0.193,-0.068,0.426,-0.632,0.152,-0.184,0.116,0.092,-0.553,0.037,-0.269,0.143,-0.123,0.377,0.004,0.235,0.35,-0.614,-0.012,0.217
-0.084,0.174,-0.569,0.318,-0.271,-0.209,-0.045,0.391,-0.614,0.154,-0.181,0.11,0.144,-0.559,0.048,-0.262,0.146,-0.156,0.363,-0.003,0.21,0.359,-0.596,0,0.231
-0.061,0.177,-0.593,0.293,-0.259,-0.228,-0.027,0.356,-0.601,0.157,-0.179,0.104,0.194,-0.568,0.063,-0.252,0.148,-0.189,0.345,-0.014,0.194,0.371,-0.579,0.004,0.241
-0.032,0.181,-0.616,0.267,-0.246,-0.246,-0.003,0.32,-0.585,0.156,-0.174,0.103,0.246,-0.573,0.082,-0.244,0.146,-0.223,0.329,-0.017,0.188,0.384,-0.558,0.016,0.251
-0.004,0.18,-0.636,0.24,-0.235,-0.261,0.017,0.279,-0.572,0.153,-0.171,0.097,0.296,-0.58,0.096,-0.233,0.145,-0.255,0.313,-0.024,0.176,0.391,-0.539,0.028,0.268
